cycle,trajectory,policy,mean_proposals,exact_best,within_001,no_passing
22,5,fixed16,16.0,0.2535,0.763,0.0
22,5,fixed32,32.0,0.5055,0.9715,0.0
22,5,adaptive16,64.0,1.0,1.0,0.0
22,5,adaptive32,64.0,1.0,1.0,0.0
22,5,fixed64,64.0,1.0,1.0,0.0
23,5,fixed16,16.0,0.24,0.24,0.0
23,5,fixed32,32.0,0.4885,0.4885,0.0
23,5,adaptive16,64.0,1.0,1.0,0.0
23,5,adaptive32,64.0,1.0,1.0,0.0
23,5,fixed64,64.0,1.0,1.0,0.0
24,5,fixed16,16.0,0.24,0.24,0.0
24,5,fixed32,32.0,0.4805,0.4805,0.0
24,5,adaptive16,64.0,1.0,1.0,0.0
24,5,adaptive32,64.0,1.0,1.0,0.0
24,5,fixed64,64.0,1.0,1.0,0.0
25,5,fixed16,16.0,0.2545,0.5765,0.0
25,5,fixed32,32.0,0.4895,0.883,0.0
25,5,adaptive16,64.0,1.0,1.0,0.0
25,5,adaptive32,64.0,1.0,1.0,0.0
25,5,fixed64,64.0,1.0,1.0,0.0
