cycle,trajectory,folds,scored,passing,missing_affinity,prior_best,best_score,best_name,improvement,best_ligand_plddt,best_pbind,q10,q25,median,q75,q90,q95,all_q10,all_median,all_q90,gap_to_median,gap_to_second,within_001,improve_001,final_filter_count,advanced_name,advanced_score,advanced_rank_all,advanced_percentile_all,best_so_far
2,4,64,64,18,0,1.6748235435547367,1.8047104991051457,c02_t4_n0_s31,0.12988695555040897,94.63096774193546,0.858400821685791,1.2461380847875536,1.3517034972360058,1.4043815507304285,1.573071955929264,1.76909825913983,1.7932947198632456,1.1151312693343625,1.3959325381463574,1.6300208824969877,0.4003289483747172,0.013430328519882462,1,4,2,c02_t4_n0_s31,1.8047104991051457,2,98.4375,1.8047104991051457
2,5,64,64,55,0,1.8675966829761381,1.9337979866643105,c02_t5_n0_s16,0.06620130368817234,96.26645161290323,0.9711334705352783,1.25105497476024,1.4434822919214925,1.5728057478043342,1.7459867997569423,1.8545081118073001,1.8631336454182288,1.0697447611319635,1.549739962622427,1.850846443156273,0.3609922388599762,0.06635108284488789,1,1,9,c02_t5_n0_s16,1.9337979866643105,1,100.0,1.9337979866643105
3,0,64,64,20,0,1.5687589380202756,1.5651329016716247,c03_t0_n0_s6,-0.003626036348650885,91.50032258064513,0.6501296758651733,1.0150461706616802,1.302800375173169,1.3983720616094528,1.4719468258196309,1.5052906792865262,1.5197812106363235,0.8337320097252631,1.1086475783609573,1.4679492570027999,0.16676084006217184,0.047738622142422305,1,0,0,c03_t0_n0_s6,1.5651329016716247,2,98.4375,1.5687589380202756
3,1,64,64,39,0,1.6419956822303032,1.8776192630583242,c03_t1_n0_s9,0.23562358082802093,97.38806451612903,0.9037386178970337,1.454423594428032,1.5559272547368082,1.5913452529107373,1.6380041585122385,1.7296356578162408,1.820724698700136,1.2232955521546642,1.5637078672639784,1.7010390172456926,0.2862740101475869,0.053873306212886884,1,10,3,c03_t1_n0_s9,1.8776192630583242,1,100.0,1.8776192630583242
3,2,64,64,1,0,1.6004366985444096,1.1461830138606413,c03_t2_n0_s39,-0.45425368468376837,50.99419354838711,0.63624107837677,1.1461830138606413,1.1461830138606413,1.1461830138606413,1.1461830138606413,1.1461830138606413,1.1461830138606413,0.9744967460967648,1.155656913761939,1.3444803795236158,0.0,,1,0,0,c03_t2_n0_s39,1.1461830138606413,35,46.875,1.6004366985444096
3,3,64,64,18,0,1.5612151058996875,1.528042791022024,c03_t3_n0_s6,-0.03317231487766348,92.51387096774194,0.6029040813446045,1.2797338937574818,1.365869803883568,1.4386765153408048,1.468028122921913,1.5118122568555032,1.52739459906978,1.087921415878419,1.387775305904881,1.5091357474911598,0.08936627568121924,0.0007625787673459783,2,0,0,c03_t3_n0_s6,1.528042791022024,2,98.4375,1.5612151058996875
3,4,64,64,35,0,1.8047104991051457,1.9336003864903606,c03_t4_n0_s23,0.1288898873852149,97.38645161290324,0.9597358703613281,1.4912697921654487,1.5381826229510769,1.7440005022571934,1.8579230205089816,1.9091496749816403,1.920011132708211,1.2714475996752708,1.544774138493692,1.8772824229588045,0.1895998842331672,0.004869966925344249,2,15,16,c03_t4_n0_s23,1.9336003864903606,1,100.0,1.9336003864903606
3,5,64,64,22,0,1.9337979866643105,1.863726510343244,c03_t5_n0_s31,-0.07007147632106636,93.18096774193549,0.9319168329238892,1.2795811854174832,1.469927989575171,1.7043089826706916,1.823466028745713,1.8473975859485134,1.8607867527367992,1.028385012534972,1.5854895622899454,1.8330996964390047,0.15941752767255246,0.0022990445413897387,2,0,6,c03_t5_n0_s31,1.863726510343244,2,98.4375,1.9337979866643105
4,0,64,64,33,0,1.5687589380202756,1.6254491029370217,c04_t0_n0_s22,0.056690164916746166,95.1061290322581,0.6743878126144409,1.3538488587302546,1.387523503045113,1.4393232311864055,1.5181855067714567,1.5619265180624684,1.568087458849261,0.9728397195991394,1.385580429581673,1.5308403296729056,0.18612587175061623,0.05548578030986162,1,1,0,c04_t0_n0_s22,1.6254491029370217,1,100.0,1.6254491029370217
4,1,64,64,33,0,1.8776192630583242,1.7567850225017918,c04_t1_n0_s20,-0.12083424055653236,96.92548387096774,0.7875301837921143,1.2531587601569392,1.4188315449745423,1.5087913232834107,1.5697489359671069,1.6093287342908302,1.6795981948354166,1.0187204736700366,1.4129469085816413,1.5957339868763956,0.2479936992183811,0.04945573990114305,1,0,0,c04_t1_n0_s20,1.7567850225017918,1,100.0,1.8776192630583242
4,2,64,64,7,0,1.6004366985444096,1.4784666123021033,c04_t2_n0_s27,-0.12197008624230632,83.39612903225806,0.6445053219795227,1.2182101478625884,1.283243495931933,1.364442200389985,1.4070378373715187,1.447219853511318,1.4628432329067107,1.0086429860216573,1.1773510244154162,1.419133497207088,0.11402441191211832,0.052077931317975334,1,0,0,c04_t2_n0_s27,1.4784666123021033,3,96.875,1.6004366985444096
4,3,64,64,6,0,1.5612151058996875,1.484644277458806,c04_t3_n0_s9,-0.07657082844088148,84.78806451612903,0.6367636322975159,1.288050775128026,1.345446476258001,1.3921461462436184,1.4309914566686077,1.4619148290249608,1.4732795532418834,1.1783425253678907,1.4170291183917751,1.5301793161158406,0.09249813121518757,0.045458896867690335,1,0,0,c04_t3_n0_s9,1.484644277458806,15,78.125,1.5612151058996875
4,4,64,64,44,0,1.9336003864903606,1.9298976901761946,c04_t4_n0_s35,-0.0037026963141659763,96.7874193548387,0.9620234966278076,1.4657732363491673,1.604525229193318,1.7768015276924256,1.8588028374002827,1.890483103770902,1.893013272231317,1.3320539559305866,1.7261061350760922,1.8847616055097887,0.153096162483769,0.00146586671644644,2,0,17,c04_t4_n0_s35,1.9298976901761946,1,100.0,1.9336003864903606
4,5,64,64,35,0,1.9337979866643105,1.927455231100513,c04_t5_n0_s16,-0.006342755563797375,96.39064516129034,0.9635487794876099,1.506650784027346,1.7028232025500267,1.7753053844974889,1.8635570175124752,1.907233868576788,1.9124215585471738,1.0679821605273216,1.7114411573840724,1.8935426548397927,0.15214984660302422,0.013729152319508442,1,0,20,c04_t5_n0_s16,1.927455231100513,1,100.0,1.9337979866643105
5,0,64,56,26,8,1.6254491029370217,1.6236052698443015,c05_t0_n0_s30,-0.0018438330927201818,96.44322580645162,0.6591730117797852,1.469230098730518,1.5007692628214437,1.550821019049614,1.5787158869974074,1.5874531191041392,1.5985848894034662,1.0101683377758148,1.4579308661860806,1.5790704454852689,0.07278425079468764,0.02163296055332342,1,0,0,c05_t0_n0_s30,1.6236052698443015,1,100.0,1.6254491029370217
5,1,64,60,15,4,1.8776192630583242,1.6700440557110694,c05_t1_n0_s1,-0.20757520734725476,97.07612903225805,0.6992827653884888,1.4920639879921942,1.5358072584029165,1.566465365686724,1.5853097981975923,1.6491475789365457,1.6623091939609278,0.9914900195690893,1.44943682234518,1.5875512898168256,0.10357869002434539,0.011049802500202155,1,0,0,c05_t1_n0_s1,1.6700440557110694,1,100.0,1.8776192630583242
5,2,64,53,12,11,1.6004366985444096,1.5780112557011265,c05_t2_n0_s50,-0.022425442843283072,91.5458064516129,0.6625531911849976,1.156707036273095,1.210858812780534,1.2927298775457565,1.4446607646572973,1.5250524964920167,1.5521338601907606,0.9778997757831698,1.1942151030109773,1.4646156366803569,0.28528137815537,0.047049810018847005,1,0,0,c05_t2_n0_s50,1.5780112557011265,1,100.0,1.6004366985444096
