cycle,trajectory,threshold,replicates,mean_proposals,p_stop16,p_stop32,p_exact_best,p_within_001,mean_score_loss,p_no_passing,p_loss_over_001,prefix_proposals,prefix_score_loss
9,4,0.001,2000,44.296,0.2525,0.237,1.0,1.0,0.0,0.0,0.0,64,0.0
9,4,0.005,2000,44.296,0.2525,0.237,1.0,1.0,0.0,0.0,0.0,64,0.0
9,4,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
9,5,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
9,5,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
9,5,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
9,5,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
10,0,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
10,0,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
10,0,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
10,0,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
10,3,0.0001,2000,18.944,0.837,0.1525,0.3105,0.3105,0.07413345153105036,0.0,0.6895,32,0.10616605251373801
10,3,0.001,2000,18.944,0.837,0.1525,0.3105,0.3105,0.07413345153105036,0.0,0.6895,32,0.10616605251373801
10,3,0.005,2000,18.944,0.837,0.1525,0.3105,0.3105,0.07413345153105036,0.0,0.6895,32,0.10616605251373801
10,3,0.01,2000,18.944,0.837,0.1525,0.3105,0.3105,0.07413345153105036,0.0,0.6895,32,0.10616605251373801
10,4,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
10,4,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
10,4,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
10,4,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
10,5,0.0001,2000,43.608,0.2595,0.248,1.0,1.0,0.0,0.0,0.0,16,0.0
10,5,0.001,2000,43.608,0.2595,0.248,1.0,1.0,0.0,0.0,0.0,16,0.0
10,5,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
10,5,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
11,0,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
11,0,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
11,0,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
11,0,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
11,3,0.0001,2000,44.064,0.245,0.2555,1.0,1.0,0.0,0.0,0.0,16,0.0
